dimensions,dtype,index_dtype,size,block_size,compress,negate,add,multiply,dot,norm2,mean,variance,cosine_similarity,structural_similarity,decompress
4,float16,int8,64,8,0.003885221481323242,6.532669067382812e-06,0.00029616355895996095,1.0347366333007812e-05,0.0007149696350097657,0.00028409957885742185,0.00013003349304199218,0.0002636909484863281,0.0004947185516357422,0.0015460491180419923,0.0004512786865234375
4,float16,int8,128,8,0.05981128215789795,8.869171142578126e-06,0.004125070571899414,1.0967254638671875e-05,0.010812902450561523,0.003939676284790039,0.00106964111328125,0.0027448654174804686,0.006360292434692383,0.01634044647216797,0.0042209625244140625
4,float16,int8,256,8,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,512,8,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,1024,8,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,2048,8,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,4096,8,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,8192,8,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,16,16,0.015088582038879394,7.724761962890625e-06,0.0001178741455078125,1.0728836059570312e-05,0.00015363693237304687,6.737709045410157e-05,9.913444519042969e-05,0.00011568069458007812,0.00014982223510742187,0.000740957260131836,0.00021848678588867187
4,float16,int8,32,16,0.015062475204467773,6.723403930664062e-06,0.00011196136474609376,1.0347366333007812e-05,0.00014395713806152343,6.456375122070313e-05,9.503364562988282e-05,0.00011372566223144531,0.00014801025390625,0.0007386207580566406,0.0002307891845703125
4,float16,int8,64,16,0.045656681060791016,6.67572021484375e-06,0.0003398418426513672,1.0204315185546874e-05,0.0007383823394775391,0.0002881526947021484,0.00013036727905273436,0.0002629280090332031,0.0004984378814697265,0.001573324203491211,0.0003958702087402344
4,float16,int8,128,16,0.7361766338348389,1.18255615234375e-05,0.004633569717407226,1.2683868408203126e-05,0.011045742034912109,0.003961896896362305,0.0011107921600341797,0.0027804851531982424,0.006363105773925781,0.016344785690307617,0.0040895938873291016
4,float16,int8,256,16,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,512,16,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,1024,16,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,2048,16,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,4096,16,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,8192,16,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
2,float16,int16,4,4,0.0001931428909301758,6.29425048828125e-06,9.708404541015625e-05,9.584426879882813e-06,0.00011873245239257812,5.53131103515625e-05,8.921623229980468e-05,9.937286376953125e-05,0.0001270294189453125,0.000675201416015625,0.00016613006591796874
2,float16,int16,8,4,0.00019011497497558593,6.341934204101563e-06,9.970664978027343e-05,9.632110595703125e-06,0.00011906623840332031,5.512237548828125e-05,9.107589721679688e-05,0.00010008811950683594,0.0001270294189453125,0.0006750583648681641,0.0001559734344482422
2,float16,int16,16,4,0.00019266605377197266,6.29425048828125e-06,9.698867797851563e-05,9.679794311523438e-06,0.00011925697326660156,5.512237548828125e-05,8.997917175292968e-05,0.00010151863098144532,0.000127410888671875,0.0006967544555664063,0.00016045570373535156
